Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Tunisia,G,14,MF,Mohamed Amine Ben Amor,03/05/1992,26,25,1,Al-Ahli,1
Tunisia,G,15,FW,Ahmed Khalil,21/12/1994,23,3,0,Club Africain,1
Tunisia,G,16,GK,Aymen Mathlouthi (captain),14/09/1984,33,69,0,Al-Batin,1
Tunisia,G,17,MF,Ellyes Skhiri,10/05/1995,23,4,0,Montpellier,1
Tunisia,G,18,FW,Bassem Srarfi,25/06/1997,20,4,0,Nice,1
Tunisia,G,19,FW,Saber Khalifa,14/10/1986,31,43,7,Club Africain,1
Tunisia,G,20,FW,Ghailene Chaalali,28/02/1994,24,6,1,Espérance,1
Tunisia,G,21,DF,Hamdi Nagguez,28/10/1992,25,15,0,Zamalek,1
Tunisia,G,22,GK,Mouez Hassen,05/03/1995,23,3,0,Châteauroux,1
Tunisia,G,23,FW,Naïm Sliti,27/07/1992,25,16,3,Dijon,1
Colombia,H,1,GK,David Ospina,31/08/1988,29,86,0,Arsenal,1
Colombia,H,2,DF,Cristián Zapata,30/09/1986,31,55,2,Milan,1
Colombia,H,3,DF,Óscar Murillo,18/04/1988,30,13,0,Pachuca,1
Colombia,H,4,DF,Santiago Arias,13/01/1992,26,41,0,PSV Eindhoven,1
Colombia,H,5,MF,Wílmar Barrios,16/10/1993,24,10,0,Boca Juniors,1
Colombia,H,6,MF,Carlos Sánchez,06/02/1986,32,85,0,Espanyol,1
Colombia,H,7,FW,Carlos Bacca,08/09/1986,31,45,14,Villarreal,1
Colombia,H,8,MF,Abel Aguilar,06/01/1985,33,70,7,Deportivo Cali,1
Colombia,H,9,FW,Radamel Falcao (captain),10/02/1986,32,73,29,Monaco,1
Colombia,H,10,MF,James Rodríguez,12/07/1991,26,63,21,Bayern Munich,1
Colombia,H,11,MF,Juan Cuadrado,26/05/1988,30,70,7,Juventus,1
Colombia,H,12,GK,Camilo Vargas,09/03/1989,29,5,0,Deportivo Cali,1
Colombia,H,13,DF,Yerry Mina,23/09/1994,23,12,3,Barcelona,1
Colombia,H,14,FW,Luis Muriel,16/04/1991,27,18,2,Sevilla,1
Colombia,H,15,MF,Mateus Uribe,21/03/1991,27,8,0,América,1
Colombia,H,16,MF,Jefferson Lerma,25/10/1994,23,5,0,Levante,1
Colombia,H,17,DF,Johan Mojica,21/08/1992,25,4,1,Girona,1
Colombia,H,18,DF,Frank Fabra,22/02/1991,27,19,1,Boca Juniors,1
Colombia,H,19,FW,Miguel Borja,26/01/1993,25,7,2,Palmeiras,1
Colombia,H,20,MF,Juan Fernando Quintero,18/01/1993,25,15,2,River Plate,1
Colombia,H,21,FW,José Izquierdo,07/07/1992,25,5,1,Brighton & Hove Albion,1
Colombia,H,22,GK,José Fernando Cuadrado,01/06/1985,33,1,0,Once Caldas,1
Colombia,H,23,DF,Dávinson Sánchez,12/06/1996,21,9,0,Tottenham Hotspur,1
Japan,H,1,GK,Eiji Kawashima,20/03/1983,35,83,0,Metz,1
Japan,H,2,DF,Naomichi Ueda,24/10/1994,23,3,0,Kashima Antlers,1
Japan,H,3,DF,Gen Shoji,11/12/1992,25,10,1,Kashima Antlers,1
Japan,H,4,MF,Keisuke Honda,13/06/1986,31,94,36,Pachuca,1
Japan,H,5,DF,Yuto Nagatomo,12/09/1986,31,104,3,Galatasaray,1
Japan,H,6,DF,Wataru Endo,09/02/1993,25,11,0,Urawa Red Diamonds,1
Japan,H,7,MF,Gaku Shibasaki,28/05/1992,26,16,3,Getafe,1
Japan,H,8,MF,Genki Haraguchi,09/05/1991,27,31,6,Fortuna Düsseldorf,1
Japan,H,9,FW,Shinji Okazaki,16/04/1986,32,112,50,Leicester City,1
Japan,H,10,MF,Shinji Kagawa,17/03/1989,29,90,29,Borussia Dortmund,1
Japan,H,11,MF,Takashi Usami,06/05/1992,26,22,3,Fortuna Düsseldorf,1
Japan,H,12,GK,Masaaki Higashiguchi,12/05/1986,32,4,0,Gamba Osaka,1
Japan,H,13,FW,Yoshinori Mutō,15/07/1992,25,22,2,Mainz 05,1
Japan,H,14,MF,Takashi Inui,02/06/1988,30,25,2,Eibar,1
Japan,H,15,FW,Yuya Osako,18/05/1990,28,27,7,1. FC Köln,1
Japan,H,16,MF,Hotaru Yamaguchi,06/10/1990,27,41,2,Cerezo Osaka,1
Japan,H,17,MF,Makoto Hasebe (captain),18/01/1984,34,109,2,Eintracht Frankfurt,1
Japan,H,18,MF,Ryota Oshima,23/01/1993,25,4,0,Kawasaki Frontale,1
Japan,H,19,DF,Hiroki Sakai,12/04/1990,28,41,0,Marseille,1
Japan,H,20,DF,Tomoaki Makino,11/05/1987,31,31,4,Urawa Red Diamonds,1
Japan,H,21,DF,Gōtoku Sakai,14/03/1991,27,39,0,Hamburger SV,1
Japan,H,22,DF,Maya Yoshida,24/08/1988,29,81,10,Southampton,1
Japan,H,23,GK,Kosuke Nakamura,27/02/1995,23,3,0,Kashiwa Reysol,1
Poland,H,1,GK,Wojciech Szczęsny,18/04/1990,28,33,0,Juventus,1
Poland,H,2,DF,Michał Pazdan,21/09/1987,30,31,0,Legia Warsaw,1
Poland,H,3,DF,Artur Jędrzejczyk,04/11/1987,30,35,3,Legia Warsaw,1
Poland,H,4,DF,Thiago Cionek,21/04/1986,32,17,0,SPAL,1
Poland,H,5,DF,Jan Bednarek,12/04/1996,22,1,0,Southampton,1
Poland,H,6,MF,Jacek Góralski,21/09/1992,25,3,0,Ludogorets Razgrad,1
Poland,H,7,FW,Arkadiusz Milik,28/02/1994,24,38,12,Napoli,1
Poland,H,8,MF,Karol Linetty,02/02/1995,23,19,1,Sampdoria,1
Poland,H,9,FW,Robert Lewandowski (captain),21/08/1988,29,93,52,Bayern Munich,1
Poland,H,10,MF,Grzegorz Krychowiak,29/01/1990,28,49,2,West Bromwich Albion,1
Poland,H,11,MF,Kamil Grosicki,08/06/1988,29,56,12,Hull City,1
Poland,H,12,GK,Bartosz Białkowski,06/07/1987,30,1,0,Ipswich Town,1
Poland,H,13,MF,Maciej Rybus,19/08/1989,28,49,2,Lokomotiv Moscow,1
Poland,H,14,FW,Łukasz Teodorczyk,03/06/1991,27,15,4,Anderlecht,1
Poland,H,15,DF,Kamil Glik,03/02/1988,30,57,4,Monaco,1
Poland,H,16,MF,Jakub Błaszczykowski,14/12/1985,32,97,19,VfL Wolfsburg,1
Poland,H,17,MF,Sławomir Peszko,19/02/1985,33,43,2,Lechia Gdańsk,1
Poland,H,18,DF,Bartosz Bereszyński,12/07/1992,25,6,0,Sampdoria,1
Poland,H,19,MF,Piotr Zieliński,20/05/1994,24,31,4,Napoli,1
Poland,H,20,DF,Łukasz Piszczek,03/06/1985,33,61,3,Borussia Dortmund,1
Poland,H,21,MF,Rafał Kurzawa,29/01/1993,25,3,0,Górnik Zabrze,1
Poland,H,22,GK,Łukasz Fabiański,18/04/1985,33,43,0,Swansea City,1
Poland,H,23,FW,Dawid Kownacki,14/03/1997,21,1,0,Sampdoria,1
Senegal,H,1,GK,Abdoulaye Diallo,30/03/1992,26,16,0,Rennes,1
Senegal,H,2,DF,Saliou Ciss,15/06/1989,28,18,0,Valenciennes,1
Senegal,H,3,DF,Kalidou Koulibaly,20/06/1991,26,24,0,Napoli,1
Senegal,H,4,DF,Kara Mbodji,22/11/1989,28,51,5,Anderlecht,1
Senegal,H,5,MF,Idrissa Gueye,26/09/1989,28,59,1,Everton,1
Senegal,H,6,MF,Salif Sané,25/08/1990,27,20,0,Hannover 96,1
Senegal,H,7,FW,Moussa Sow,19/01/1986,32,50,18,Bursaspor,1
Senegal,H,8,MF,Cheikhou Kouyaté (captain),21/12/1989,28,47,2,West Ham United,1
Senegal,H,9,FW,Mame Biram Diouf,16/12/1987,30,47,10,Stoke City,1
Senegal,H,10,FW,Sadio Mané,10/04/1992,26,51,14,Liverpool,1
Senegal,H,11,MF,Cheikh N'Doye,29/03/1986,32,24,3,Birmingham City,1
Senegal,H,12,DF,Youssouf Sabaly,05/03/1993,25,3,0,Bordeaux,1
Senegal,H,13,MF,Alfred N'Diaye,06/03/1990,28,19,0,Wolverhampton Wanderers,1
Senegal,H,14,FW,Moussa Konaté,03/04/1993,25,27,9,Amiens,1
Senegal,H,15,FW,Diafra Sakho,24/12/1989,28,10,3,Rennes,1
Senegal,H,16,GK,Khadim N'Diaye,05/04/1985,33,25,0,Horoya,1
Senegal,H,17,MF,Badou Ndiaye,27/10/1990,27,18,1,Stoke City,1
Senegal,H,18,FW,Ismaïla Sarr,25/02/1998,20,14,2,Rennes,1
Senegal,H,19,FW,M'Baye Niang,19/12/1994,23,5,0,Torino,1
Senegal,H,20,FW,Keita Baldé,08/03/1995,23,17,3,Monaco,1
Senegal,H,21,DF,Lamine Gassama,20/10/1989,28,35,0,Alanyaspor,1
Senegal,H,22,DF,Moussa Wagué,04/10/1998,19,9,0,Eupen,1
Senegal,H,23,GK,Alfred Gomis,05/09/1993,24,1,0,SPAL,1
